-73 -8				    0.271645 322
-73 -6				    0.275626 311
-73 -4				    0.273144 331
-73 -2				    0.27458  367
-73 0				    0.271639 316
-73 2				    0.27326  335
-73 4				    0.273301 393
-73 6				    0.274457 382
-73 8				    0.275638 326
-73 10				    0.276228 333
-73 12				    0.272003 343
-73 14				    0.274661 336
-73 16				    0.272161 337
-73 18				    0.273928 376
-73 20				    0.273025 350
-73 22				    0.273322 352
-73 24				    0.272181 331
-71 -24.			    0.276454 378
-71 -22				    0.277578 365
-71 -20				    0.278299 364
-71 -18				    0.269654 322
-71 -16				    0.276971 350
-71 -14				    0.274631 380
-71 -12				    0.273009 358
-71 -10				    0.275894 396
-71 -8				    0.278176 376
-71 -6				    0.275093 362
-71 -4				    0.27862  364
-71 -2				    0.276026 344
-71 0				    0.27201  322
-71 2				    0.276571 317
-71 4				    0.274235 350
-71 6				    0.276685 382
-71 8				    0.271566 337
-71 10				    0.274149 348
-71 12				    0.272299 355
-71 14				    0.272259 348
-71 16				    0.272862 370
-71 18				    0.27676  353
-71 20				    0.27738  333
-71 22				    0.272972 360
-71 24				    0.276178 418
-69 -24.			    0.275831 358
-69 -22				    0.271028 394
-69 -20				    0.277054 350
-69 -18				    0.273351 341
-69 -16				    0.277183 357
-69 -14				    0.273484 383
-69 -12				    0.274501 320
-69 -10				    0.273841 358
-69 -8				    0.271626 361
-69 -6				    0.274731 344
-69 -4				    0.275129 359
-69 -2				    0.27623  277
-69 0				    0.274834 292
-69 2				    0.271831 292
-69 4				    0.275637 324
-69 6				    0.271808 344
-69 8				    0.272253 337
-69 10				    0.273396 359
-69 12				    0.274962 367
-69 14				    0.272967 381
-69 16				    0.279153 418
-69 18				    0.274089 334
-69 20				    0.273881 348
-69 22				    0.277171 379
-69 24				    0.278658 390
-67 -24.			    0.273075 347
-67 -22				    0.270316 388
-67 -20				    0.273652 363
-67 -18				    0.27553  380
-67 -16				    0.273531 338
-67 -14				    0.269266 353
-67 -12				    0.275627 374
-67 -10				    0.275479 356
-67 -8				    0.275659 359
-67 -6				    0.272515 370
-67 -4				    0.273435 341
-67 -2				    0.275605 265
-67 0				    0.273332 219
-67 2				    0.277366 261
-67 4				    0.277233 332
-67 6				    0.272023 361
-67 8				    0.275662 402
-67 10				    0.27496  355
-67 12				    0.27091  362
-67 14				    0.275906 355
-67 16				    0.276206 374
-67 18				    0.270447 348
-67 20				    0.277087 396
-67 22				    0.274673 377
-67 24				    0.27354  355
-65 -24.			    0.276065 381
-65 -22				    0.275982 355
-65 -20				    0.275237 381
-65 -18				    0.275693 369
-65 -16				    0.274956 381
-65 -14				    0.27787  376
-65 -12				    0.277674 404
-65 -10				    0.273671 326
-65 -8				    0.276919 354
-65 -6				    0.275808 363
-65 -4				    0.272274 307
-65 -2				    0.270713 253
-65 0				    0.271979 196
-65 2				    0.278206 259
-65 4				    0.272521 329
-65 6				    0.273918 344
-65 8				    0.272974 332
-65 10				    0.276176 367
-65 12				    0.276058 392
-65 14				    0.274017 415
-65 16				    0.276934 408
-65 18				    0.276174 389
-65 20				    0.275937 349
-65 22				    0.274533 373
-65 24				    0.273604 346
-63 -24.			    0.27372  379
-63 -22				    0.276017 381
-63 -20				    0.275377 380
-63 -18				    0.27665  364
-63 -16				    0.272438 363
-63 -14				    0.27059  369
-63 -12				    0.273926 383
-63 -10				    0.274908 369
-63 -8				    0.27444  387
-63 -6				    0.270997 383
-63 -4				    0.27317  280
-63 -2				    0.275092 223
-63 0				    0.271451 187
-63 2				    0.275047 234
-63 4				    0.273209 298
-63 6				    0.272199 365
-63 8				    0.269788 392
-63 10				    0.272644 391
-63 12				    0.275755 376
-63 14				    0.270498 357
-63 16				    0.276636 391
-63 18				    0.274653 403
-63 20				    0.274176 346
-63 22				    0.272991 383
-63 24				    0.273059 428
-61 -24.			    0.273334 398
-61 -22				    0.27415  395
-61 -20				    0.274447 398
-61 -18				    0.279285 411
-61 -16				    0.275194 360
-61 -14				    0.271125 382
-61 -12				    0.274743 405
-61 -10				    0.270338 359
-61 -8				    0.273284 382
-61 -6				    0.27221  351
-61 -4				    0.276713 287
-61 -2				    0.275382 227
-61 0				    0.276083 208
-61 2				    0.273421 197
-61 4				    0.275369 265
-61 6				    0.276053 343
-61 8				    0.2736   344
-61 10				    0.273316 356
-61 12				    0.27103  396
-61 14				    0.277183 379
-61 16				    0.273406 385
-61 18				    0.272365 384
-61 20				    0.278083 382
-61 22				    0.275006 420
-61 24				    0.273429 370
-59 -24.			    0.277932 419
-59 -22				    0.279636 389
-59 -20				    0.27447  383
-59 -18				    0.275792 412
-59 -16				    0.273084 391
-59 -14				    0.275631 412
-59 -12				    0.273796 372
-59 -10				    0.27035  374
-59 -8				    0.27463  391
-59 -6				    0.27379  344
-59 -4				    0.276339 277
-59 -2				    0.27405  191
-59 0				    0.273217 186
-59 2				    0.275534 204
-59 4				    0.269719 253
-59 6				    0.274753 330
-59 8				    0.270175 398
-59 10				    0.270769 384
-59 12				    0.272164 362
-59 14				    0.272664 376
-59 16				    0.27283  398
-59 18				    0.272913 394
-59 20				    0.272404 403
-59 22				    0.274737 391
-59 24				    0.272096 399
-57 -24.			    0.277384 403
-57 -22				    0.277128 419
-57 -20				    0.272823 388
-57 -18				    0.273017 396
-57 -16				    0.280403 417
-57 -14				    0.275644 414
-57 -12				    0.279455 411
-57 -10				    0.274143 378
-57 -8				    0.273671 405
-57 -6				    0.279047 301
-57 -4				    0.27423  224
-57 -2				    0.274387 195
-57 0				    0.273723 196
-57 2				    0.27419  179
-57 4				    0.272433 269
-57 6				    0.270791 314
-57 8				    0.270891 359
-57 10				    0.272464 377
-57 12				    0.276379 434
-57 14				    0.276272 353
-57 16				    0.267724 395
-57 18				    0.27626  407
-57 20				    0.27414  398
-57 22				    0.274803 406
-57 24				    0.273986 413
-55 -24.			    0.277596 406
-55 -22				    0.271896 423
-55 -20				    0.278221 446
-55 -18				    0.272288 456
-55 -16				    0.275613 394
-55 -14				    0.274046 397
-55 -12				    0.273688 356
-55 -10				    0.27579  419
-55 -8				    0.273629 355
-55 -6				    0.272016 283
-55 -4				    0.27515  200
-55 -2				    0.273099 209
-55 0				    0.273227 187
-55 2				    0.278097 219
-55 4				    0.275881 222
-55 6				    0.26842  277
-55 8				    0.271782 353
-55 10				    0.273445 408
-55 12				    0.27263  385
-55 14				    0.269129 377
-55 16				    0.272991 394
-55 18				    0.270459 426
-55 20				    0.272768 398
-55 22				    0.271656 427
-55 24				    0.26851  392
-53 -24.			    0.271204 393
-53 -22				    0.276086 401
-53 -20				    0.273866 402
-53 -18				    0.275714 418
-53 -16				    0.271845 412
-53 -14				    0.271003 395
-53 -12				    0.275931 419
-53 -10				    0.277894 433
-53 -8				    0.276614 355
-53 -6				    0.277918 287
-53 -4				    0.275061 220
-53 -2				    0.277336 210
-53 0				    0.277451 200
-53 2				    0.277441 206
-53 4				    0.27692  198
-53 6				    0.277266 256
-53 8				    0.276042 356
-53 10				    0.274103 389
-53 12				    0.27581  396
-53 14				    0.274769 399
-53 16				    0.274057 408
-53 18				    0.275461 381
-53 20				    0.273703 416
-53 22				    0.272659 393
-53 24				    0.270638 453
-51 -24.			    0.270384 409
-51 -22				    0.274665 429
-51 -20				    0.272914 444
-51 -18				    0.275497 415
-51 -16				    0.275017 411
-51 -14				    0.274207 385
-51 -12				    0.27601  433
-51 -10				    0.273105 413
-51 -8				    0.27373  363
-51 -6				    0.272049 230
-51 -4				    0.271666 203
-51 -2				    0.272347 219
-51 0				    0.272782 224
-51 2				    0.272168 197
-51 4				    0.271789 216
-51 6				    0.27849  223
-51 8				    0.27458  306
-51 10				    0.274034 418
-51 12				    0.278042 414
-51 14				    0.272339 412
-51 16				    0.275253 422
-51 18				    0.272138 382
-51 20				    0.276871 454
-51 22				    0.27643  437
-51 24				    0.271618 397
-49 -24.			    0.272323 438
-49 -22				    0.270304 461
-49 -20				    0.271646 416
-49 -18				    0.275247 423
-49 -16				    0.268749 451
-49 -14				    0.275572 410
-49 -12				    0.272951 431
-49 -10				    0.277336 443
-49 -8				    0.275647 311
-49 -6				    0.273291 208
-49 -4				    0.275027 187
-49 -2				    0.272366 189
-49 0				    0.276115 218
-49 2				    0.268844 218
-49 4				    0.273663 195
-49 6				    0.273826 205
-49 8				    0.274917 322
-49 10				    0.277628 407
-49 12				    0.269594 391
-49 14				    0.272445 445
-49 16				    0.272844 414
-49 18				    0.273569 390
-49 20				    0.276599 420
-49 22				    0.276911 416
-49 24				    0.275328 417
-47 -24.			    0.278168 426
-47 -22				    0.27446  413
-47 -20				    0.271674 440
-47 -18				    0.275043 416
-47 -16				    0.274376 424
-47 -14				    0.27576  432
-47 -12				    0.275271 414
-47 -10				    0.277607 371
-47 -8				    0.273549 269
-47 -6				    0.275565 196
-47 -4				    0.277651 212
-47 -2				    0.274504 205
-47 0				    0.276318 235
-47 2				    0.276267 200
-47 4				    0.27201  214
-47 6				    0.276891 203
-47 8				    0.269106 279
-47 10				    0.277031 395
-47 12				    0.277664 440
-47 14				    0.271889 406
-47 16				    0.275261 457
-47 18				    0.276029 416
-47 20				    0.270333 426
-47 22				    0.272687 399
-47 24				    0.274864 417
-45 -24.			    0.276748 442
-45 -22				    0.272588 389
-45 -20				    0.271638 447
-45 -18				    0.272082 436
-45 -16				    0.269749 419
-45 -14				    0.277519 450
-45 -12				    0.274275 444
-45 -10				    0.274393 362
-45 -8				    0.277456 218
-45 -6				    0.276064 221
-45 -4				    0.273022 200
-45 -2				    0.276451 213
-45 0				    0.275302 224
-45 2				    0.272428 199
-45 4				    0.274374 220
-45 6				    0.27341  202
-45 8				    0.270318 231
-45 10				    0.272455 326
-45 12				    0.275338 450
-45 14				    0.27278  457
-45 16				    0.277765 454
-45 18				    0.273329 448
-45 20				    0.272494 426
-45 22				    0.274065 396
-45 24				    0.279146 445
-43 -24.			    0.27444  436
-43 -22				    0.275393 435
-43 -20				    0.270924 460
-43 -18				    0.275526 474
-43 -16				    0.273088 419
-43 -14				    0.277628 486
-43 -12				    0.27435  429
-43 -10				    0.270925 320
-43 -8				    0.272832 232
-43 -6				    0.275008 188
-43 -4				    0.275287 228
-43 -2				    0.275705 215
-43 0				    0.269471 197
-43 2				    0.271836 217
-43 4				    0.272139 219
-43 6				    0.27469  199
-43 8				    0.274754 220
-43 10				    0.27487  326
-43 12				    0.278464 417
-43 14				    0.273438 439
-43 16				    0.275338 419
-43 18				    0.271183 423
-43 20				    0.280038 468
-43 22				    0.276537 418
-43 24				    0.279179 462
-41 -24.			    0.273072 444
-41 -22				    0.277698 446
-41 -20				    0.27116  436
-41 -18				    0.272485 444
-41 -16				    0.274716 431
-41 -14				    0.272516 464
-41 -12				    0.278155 381
-41 -10				    0.279093 247
-41 -8				    0.27482  240
